parcode,trial,fix_item,fix_time,rt,block
1,180,2,227.755,3330.755,MORE
1,181,0,7,1866.57,MORE
1,181,1,584,1866.57,MORE
1,181,2,712,1866.57,MORE
1,181,1,563.57,1866.57,MORE
1,182,3,0,1866.57,MORE
1,182,1,833,1604.858,MORE
1,182,2,774.858,1604.858,MORE
1,183,0,50,2458.127,MORE
1,183,1,964,2458.127,MORE
1,183,2,646,2458.127,MORE
1,183,1,470,2458.127,MORE
1,183,2,328.127,2458.127,MORE
1,184,0,206,4970.636,MORE
1,184,1,814,4970.636,MORE
1,184,2,848,4970.636,MORE
1,184,1,1572,4970.636,MORE
1,184,2,974,4970.636,MORE
1,184,1,556.636,4970.636,MORE
1,185,0,39,3115.157,MORE
1,185,1,1612,3115.157,MORE
1,185,2,708,3115.157,MORE
1,185,1,756.157,3115.157,MORE
1,186,3,19,3115.157,MORE
1,186,1,1510,3128.098,MORE
1,186,2,890,3128.098,MORE
1,186,1,709.098,3128.098,MORE
1,187,3,17,3128.098,MORE
1,187,1,2198,3745.136,MORE
1,187,2,918,3745.136,MORE
1,187,1,612.136,3745.136,MORE
1,188,3,9,3745.136,MORE
1,188,1,1434,3673.352,MORE
1,188,2,696,3673.352,MORE
1,188,1,774,3673.352,MORE
1,188,2,760.352,3673.352,MORE
1,189,3,20,3673.352,MORE
1,189,1,2540,4942.765,MORE
1,189,0,280,4942.765,MORE
1,189,2,640,4942.765,MORE
1,189,1,800,4942.765,MORE
1,189,2,662.765,4942.765,MORE
1,190,3,0,4942.765,MORE
1,190,1,809,2224.593,MORE
1,190,2,682,2224.593,MORE
1,190,1,735.593,2224.593,MORE
1,191,3,45,2224.593,MORE
1,191,1,1234,2997.098,MORE
1,191,2,1144,2997.098,MORE
1,191,1,574.098,2997.098,MORE
1,192,3,0,2997.098,MORE
1,192,1,714,1391.738,MORE
1,192,2,680.738,1391.738,MORE
1,193,0,238,3340.985,MORE
1,193,1,1242,3340.985,MORE
1,193,2,912,3340.985,MORE
1,193,1,948.985,3340.985,MORE
1,194,3,0,3340.985,MORE
1,194,1,1010,1648.785,MORE
1,194,2,641.785,1648.785,MORE
1,195,3,0,1648.785,MORE
