,Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,TotVal,ValCh,ValUnCh,Correct,zTotVal,zValCh,zValUnCh,zGSF,zDDT,absDDT,zValR,zValL,ConfSplit,GSFMedSplit,DDTMedSplit
78,1,79,46,124,110,1,1725.903,64,2174.162,MORE,-200,1128,928,1,1,-14,-1.312371845,14,0.87303787,-0.125609888,-0.840546917,234,124,110,1,1.475932034,1.716734147,1.170500555,-1.255095392,0.313101107,0.313101107,1.170500555,1.716734147,0,0,1
79,1,80,58,92,110,1,3225.23,54,1560.319,MORE,-480,1938,1458,3,1,18,1.687335229,18,1.571468165,-0.640053114,0.382760259,202,92,110,0,0.837691154,0.468200222,1.170500555,0.456398324,-0.02728124,0.02728124,1.170500555,0.468200222,0,1,0
80,1,81,48,128,110,1,7964.301,54,1952.117,LESS,-734,3890,3156,4,1,-18,-1.687335229,18,1.571468165,-0.640053114,4.249388127,238,128,110,0,1.555712144,1.872800887,1.170500555,1.312145182,-0.336056654,0.336056654,1.170500555,1.872800887,0,1,0
81,1,82,8,50,58,0,1743.824,64,2343.446,LESS,-960,1426,466,2,1,8,0.749926769,8,-0.174607574,-0.125609888,-0.825925098,108,50,58,1,-1.037141429,-1.170500555,-0.858367073,-0.399348534,-0.610793834,0.610793834,-0.858367073,-1.170500555,1,0,0
82,1,83,4,54,50,0,2122.334,54,1286.756,LESS,-1186,1716,530,2,1,-4,-0.374963384,4,-0.87303787,-0.640053114,-0.517097204,104,54,50,0,-1.116921539,-1.014433814,-1.170500555,-0.399348534,-0.885531014,0.885531014,-1.170500555,-1.014433814,0,0,0
83,1,84,37,80,69,1,2518.011,84,2851.118,LESS,212,1776,1988,3,2,-11,-1.031149307,11,0.349215148,0.903276565,-0.194262683,149,80,69,0,-0.219395302,0,-0.429183537,0.456398324,0.813949417,0.813949417,-0.429183537,0,1,1,1
84,1,85,52,105,110,0,2201.475,64,1874.471,LESS,-944,1712,768,2,1,5,0.46870423,5,-0.698430296,-0.125609888,-0.452525731,215,105,110,1,1.096976512,0.975417129,1.170500555,-0.399348534,-0.591343414,0.591343414,1.170500555,0.975417129,1,0,0
85,1,86,5,55,50,0,2131.478,64,1083.81,LESS,-634,1302,668,2,1,-5,-0.46870423,5,-0.698430296,-0.125609888,-0.509636576,105,55,50,0,-1.096976512,-0.975417129,-1.170500555,-0.399348534,-0.21449153,0.21449153,-1.170500555,-0.975417129,1,0,1
86,1,87,30,96,80,0,2017.429,4,1183.942,LESS,-1858,2362,504,2,1,-16,-1.499853537,16,1.222253018,-3.212269245,-0.602689633,176,96,80,0,0.31912044,0.624266962,0,-0.399348534,-1.702448646,1.702448646,0,0.624266962,0,0,0
87,1,88,33,80,75,1,3241.381,64,1875.688,LESS,712,1180,1892,3,2,-5,-0.46870423,5,-0.698430296,-0.125609888,0.395937928,155,80,75,0,-0.099725137,0,-0.195083426,0.456398324,1.421775036,1.421775036,-0.195083426,0,1,1,1
88,1,89,48,110,128,0,2528.386,64,1824.788,LESS,-1444,2070,626,2,1,18,1.687335229,18,1.571468165,-0.125609888,-0.185797677,238,110,128,1,1.555712144,1.170500555,1.872800887,-0.399348534,-1.199169033,1.199169033,1.872800887,1.170500555,0,0,0
89,1,90,9,59,50,1,1679.873,64,1211.035,LESS,444,628,1072,1,2,-9,-0.843667615,9,0,-0.125609888,-0.878102986,109,59,50,0,-1.017196402,-0.819350388,-1.170500555,-1.255095392,1.095980504,1.095980504,-1.170500555,-0.819350388,0,0,1
90,1,91,44,110,119,0,1513.221,24,1929.333,LESS,-672,1086,414,2,1,9,0.843667615,9,0,-2.183382793,-1.014075051,229,110,119,1,1.376206896,1.170500555,1.521650721,-0.399348534,-0.260686278,0.260686278,1.521650721,1.170500555,0,0,0
91,1,92,2,52,50,1,3359.407,74,1520.963,LESS,974,1046,2020,3,2,-2,-0.187481692,2,-1.222253018,0.388833339,0.492235835,102,52,50,0,-1.156811594,-1.092467184,-1.170500555,0.456398324,1.74027566,1.74027566,-1.170500555,-1.092467184,1,1,1
92,1,93,8,58,50,0,3815.203,74,1109.56,LESS,-556,2110,1554,4,2,-8,-0.749926769,8,-0.174607574,0.388833339,0.8641217,108,58,50,0,-1.037141429,-0.858367073,-1.170500555,1.312145182,-0.119670734,0.119670734,-1.170500555,-0.858367073,1,1,1
