name,parcode,trial,fix_item,fix_time,rt,block
p1.edf,1,39,2,68,4458,2.0
p1.edf,1,40,3,313,2009,1.0
p1.edf,1,40,1,258,2009,1.0
p1.edf,1,40,1,294,2009,1.0
p1.edf,1,40,2,342,2009,1.0
p1.edf,1,40,2,286,2009,1.0
p1.edf,1,40,2,104,2009,1.0
p1.edf,1,40,1,412,2009,1.0
p1.edf,1,41,3,249,3371,1.0
p1.edf,1,41,1,184,3371,1.0
p1.edf,1,41,1,178,3371,1.0
p1.edf,1,41,1,214,3371,1.0
p1.edf,1,41,2,364,3371,1.0
p1.edf,1,41,2,378,3371,1.0
p1.edf,1,41,1,342,3371,1.0
p1.edf,1,41,1,294,3371,1.0
p1.edf,1,41,1,246,3371,1.0
p1.edf,1,41,1,444,3371,1.0
p1.edf,1,41,1,478,3371,1.0
p1.edf,1,42,3,290,1700,1.0
p1.edf,1,42,1,304,1700,1.0
p1.edf,1,42,1,188,1700,1.0
p1.edf,1,42,1,138,1700,1.0
p1.edf,1,42,2,404,1700,1.0
p1.edf,1,42,2,376,1700,1.0
p1.edf,1,43,3,264,7466,1.0
p1.edf,1,43,1,340,7466,1.0
p1.edf,1,43,1,290,7466,1.0
p1.edf,1,43,2,352,7466,1.0
p1.edf,1,43,2,272,7466,1.0
p1.edf,1,43,2,462,7466,1.0
p1.edf,1,43,1,314,7466,1.0
p1.edf,1,43,1,286,7466,1.0
p1.edf,1,43,1,324,7466,1.0
p1.edf,1,43,1,254,7466,1.0
p1.edf,1,43,2,384,7466,1.0
p1.edf,1,43,2,674,7466,1.0
p1.edf,1,43,1,396,7466,1.0
p1.edf,1,43,1,128,7466,1.0
p1.edf,1,43,1,348,7466,1.0
p1.edf,1,43,1,442,7466,1.0
p1.edf,1,43,1,174,7466,1.0
p1.edf,1,43,1,400,7466,1.0
p1.edf,1,43,1,138,7466,1.0
p1.edf,1,43,2,364,7466,1.0
p1.edf,1,43,2,376,7466,1.0
p1.edf,1,43,2,304,7466,1.0
p1.edf,1,43,2,180,7466,1.0
